index | title | price
0 | Guiso de hongos silvestres con lentejones | $600.00
1 | Goulash & Spaetzle | $820.00
2 | Guiso de hongos silvestres picante, con toque ahumado | $700.00
3 | Guiso de Cordero & Hongos con lentejones | $950.00
4 | Pechuga & crema de hongos silvestres con guarnición | $820.00
5 | Pechuga & salsa oriental con guarnic | $820.00
6 | Costeleta & toque ahumado con chucrut y papas al tomillo | $850.00
7 | Wok de pollo y vegetales | $720.00
8 | Wok de hongos y vegetales | $720.00
9 | Tortilla de Papa 85º (cocida) con toque de ciboulette | $420.00
10 | Tortilla de papa 72º (babé) con toque de ciboulette | $420.00
11 | Frijoles refritos de Alex (receta mexicana autentica – estilo Garibaldi) | $250.00
12 | Falafel & vegetales salteados con crema de berenjenas | $820.00
13 | CREMA DE BERENJENA ASADA | $250.00
14 | Pechito de cerdo con toque de pimentón ahumado – Cocción lenta (¡20hs!) | 
15 | Bondiola con toque de sal & pimienta – Cocción lenta (¡20hs!) | 
16 | Falafel & crema de berenjena asada | $550.00
